,from,to,strength,AuthorRep_from,AuthorRep_to
2741,6099811.0,2627243.0,1,3296,7934
2742,15554910.0,2627243.0,3,13,7934
2743,87713.0,2627243.0,3,3024,7934
2744,16503691.0,2627243.0,2,34,7934
2745,13644299.0,2627243.0,1,185,7934
2746,12450991.0,2627243.0,1,33,7934
2747,14238358.0,2627243.0,1,498,7934
2748,1024832.0,2627243.0,1,10695,7934
2749,5459839.0,1447675.0,3,257338,348315
2750,1772933.0,1447675.0,2,20784,348315
2751,3689450.0,1447675.0,2,22544,348315
2752,51685.0,1447675.0,1,121370,348315
2753,989920.0,1447675.0,4,3673,348315
2754,17068230.0,1447675.0,2,107,348315
2755,3744304.0,1447675.0,1,48301,348315
2756,6649786.0,1447675.0,5,5420,348315
2757,1021703.0,1447675.0,1,25021,348315
2758,295783.0,1447675.0,1,153438,348315
2759,1377002.0,1447675.0,1,51194,348315
2760,3824249.0,1447675.0,2,5217,348315
2761,157957.0,1447675.0,2,76534,348315
2762,4688321.0,1447675.0,2,3316,348315
2763,2627243.0,1447675.0,2,7934,348315
2764,402037.0,1447675.0,8,20726,348315
2765,4642212.0,1447675.0,1,16398,348315
2766,14104.0,1447675.0,1,194320,348315
2767,6513921.0,1447675.0,1,26258,348315
2768,12378923.0,1447675.0,2,2837,348315
2769,4642436.0,1447675.0,3,124,348315
2770,5648954.0,1447675.0,1,37650,348315
2771,585411.0,1447675.0,2,37315,348315
2772,15781079.0,1447675.0,1,7381,348315
2773,15585611.0,1447675.0,6,9,348315
2774,1116230.0,1447675.0,1,9366,348315
2775,5515945.0,1447675.0,3,5137,348315
2776,507674.0,1447675.0,1,310181,348315
2777,12361700.0,1447675.0,2,10422,348315
2778,14201528.0,1447675.0,1,2157,348315
2779,14306781.0,1447675.0,1,445,348315
2780,534858.0,1447675.0,4,2617,348315
2781,989121.0,1447675.0,3,203799,348315
2782,8199818.0,1447675.0,4,426,348315
2783,10262756.0,1447675.0,2,37,348315
2784,294949.0,1447675.0,3,58769,348315
2785,15466298.0,1447675.0,3,15,348315
2786,4580405.0,1447675.0,4,77,348315
2787,2610061.0,1447675.0,2,20769,348315
2788,2729605.0,1447675.0,1,2587,348315
2789,8017690.0,1447675.0,1,11867,348315
2790,1444609.0,1447675.0,3,21863,348315
2791,7448536.0,1447675.0,1,2188,348315
2792,6839787.0,1447675.0,1,1335,348315
2793,14807111.0,1447675.0,1,9393,348315
2794,11719314.0,1447675.0,2,3761,348315
2795,10177474.0,1447675.0,2,79,348315
2796,395910.0,1447675.0,1,56935,348315
2797,14929971.0,1447675.0,2,351,348315
2798,17316007.0,1447675.0,2,35,348315
2799,16043450.0,1447675.0,1,433,348315
2800,11737596.0,1447675.0,2,1344,348315
2801,11379102.0,1447675.0,1,49,348315
2802,7040040.0,1447675.0,1,5004,348315
2803,9078341.0,1447675.0,1,12977,348315
2804,5460261.0,1447675.0,1,1967,348315
2805,13057251.0,1447675.0,2,67,348315
2806,12450991.0,1447675.0,1,33,348315
2807,9649723.0,1447675.0,1,89,348315
2808,14238358.0,1447675.0,1,498,348315
2809,3156509.0,1447675.0,1,771,348315
2810,7280073.0,1447675.0,1,77,348315
2811,5459839.0,1126841.0,3,257338,440478
2812,5424988.0,1126841.0,1,123570,440478
2813,6365112.0,1126841.0,28,11746,440478
2814,12671057.0,1126841.0,42,13029,440478
2815,3080723.0,1126841.0,3,8626,440478
2816,13256890.0,1126841.0,39,149,440478
2817,849891.0,1126841.0,2,68615,440478
2818,6045800.0,1126841.0,1,15492,440478
2819,12299000.0,1126841.0,24,40309,440478
2820,1745001.0,1126841.0,1,170657,440478
2821,1491895.0,1126841.0,8,660021,440478
2822,476.0,1126841.0,2,489434,440478
2823,9769953.0,1126841.0,9,6839,440478
2824,15497888.0,1126841.0,1,31473,440478
2825,5014455.0,1126841.0,1,75768,440478
2826,2107876.0,1126841.0,1,30614,440478
2827,5349916.0,1126841.0,4,36002,440478
2828,1084416.0,1126841.0,1,22496,440478
2829,11647025.0,1126841.0,2,2006,440478
2830,2079303.0,1126841.0,4,217582,440478
2831,10248678.0,1126841.0,1,38491,440478
2832,15091435.0,1126841.0,1,655,440478
2833,6419007.0,1126841.0,2,50219,440478
2834,7366100.0,1126841.0,1,15280,440478
2835,2472827.0,1126841.0,2,1372,440478
2836,218663.0,1126841.0,12,7459,440478
2837,2084384.0,1126841.0,1,15304,440478
2838,10824407.0,1126841.0,1,6600,440478
2839,4834.0,1126841.0,6,33040,440478
2840,4014959.0,1126841.0,2,51948,440478
2841,843953.0,1126841.0,1,16860,440478
2842,354577.0,1126841.0,4,108775,440478
2843,355230.0,1126841.0,3,110891,440478
2844,6298712.0,1126841.0,6,6525,440478
2845,7552.0,1126841.0,1,221427,440478
2846,260313.0,1126841.0,1,6280,440478
2847,3889449.0,1126841.0,3,55075,440478
2848,4621513.0,1126841.0,3,14102,440478
2849,6260170.0,1126841.0,6,34669,440478
2850,5483526.0,1126841.0,6,44769,440478
2851,9725756.0,1126841.0,5,49,440478
2852,633183.0,1126841.0,2,117695,440478
2853,11659881.0,1126841.0,1,3649,440478
2854,12962000.0,1126841.0,2,17,440478
2855,642070.0,1126841.0,1,62488,440478
2856,405303.0,1126841.0,2,7072,440478
2857,5987.0,1126841.0,6,284135,440478
